airport,Total Flights,Total Delays,Carrier,Weather,National Airspace System,Security,Late Arrival of the Same Aircraft at a Previous Airport,lat,lon
SAN,823447,9.204925025,3.597755329,0.385044677,2.123500767,0.026564354,3.072059898,32.73277778,-117.1872222
SAT,390603,10.93858027,4.213050111,0.627670122,2.244984154,0.019558792,3.83331709,29.53333333,-98.46944444
SAV,107700,12.48384419,4.907558498,0.899562679,2.366109447,0.010070749,4.30054282,32.1275,-81.2025
SBA,107409,7.704337808,3.336000348,0.228790319,1.041031991,0.01213698,3.086378169,34.42777778,-119.8394444
SDF,172097,11.60978182,4.554262885,0.731897731,2.305046275,0.009361326,4.009213605,38.17972222,-85.73861111
SEA,1065356,10.4565961,3.950307469,0.404309181,2.500547166,0.023226801,3.57820548,47.44722222,-122.3055556
SFO,1513535,16.0717902,4.049533489,0.542913277,7.53072822,0.024537917,3.924077301,37.61888889,-122.375
SJC,468149,8.789365684,3.553392449,0.376267082,1.692110405,0.017915147,3.1496806,37.36277778,-121.9405556
SLC,1232522,10.33647073,3.802916387,0.543180932,2.250317961,0.017955797,3.722099649,40.78416667,-111.9669444
SMF,465311,9.477063315,3.976452143,0.392222357,1.660876681,0.021724972,3.425787161,38.69555556,-121.5897222
SNA,437703,6.758120891,2.626189021,0.235564086,1.51564548,0.014916556,2.365805748,33.67555556,-117.8669444
STL,578918,11.04461235,4.161493152,0.534561522,2.270647789,0.014750394,4.063159491,38.74722222,-90.36444444
SYR,91855,12.99899679,5.170006746,0.840256793,2.660138397,0.013591091,4.31500376,43.11055556,-76.1025
TPA,707429,11.02222035,3.625604617,0.544071211,2.87150989,0.014236967,3.96679767,27.97305556,-82.53527778
TUL,200148,11.96661842,4.49895032,0.892254762,2.084574457,0.013104347,4.477734538,36.19777778,-95.88972222
TUS,217400,8.906924823,3.298939223,0.434624173,1.982369906,0.036741157,3.154250363,32.11611111,-110.9405556
TYS,115330,12.14535855,4.533233399,0.937940311,2.174506428,0.008016058,4.491662354,35.80944444,-83.99527778
XNA,122931,11.69764978,4.297322748,0.840736966,2.220535859,0.010841647,4.328212564,36.28166667,-94.30777778
